Date,New Jersey Total Gas Price (Dollars per Gallon)
Jan-83,0.911
Feb-83,0.871
Mar-83,0.843
Apr-83,0.872
May-83,0.894
Jun-83,0.902
Jul-83,0.912
Aug-83,0.915
Sep-83,0.902
Oct-83,0.9
Nov-83,0.887
Dec-83,0.832
Jan-84,0.837
Feb-84,0.853
Mar-84,0.849
Apr-84,0.844
May-84,0.838
Jun-84,0.833
Jul-84,0.82
Aug-84,0.815
Sep-84,0.816
Oct-84,0.829
Nov-84,0.814
Dec-84,0.787
Jan-85,0.781
Feb-85,0.77
Mar-85,0.804
Apr-85,0.844
May-85,0.856
Jun-85,0.865
Jul-85,0.864
Aug-85,0.834
Sep-85,0.844
Oct-85,0.842
Nov-85,0.846
Dec-85,0.852
Jan-86,0.79
Feb-86,0.688
Mar-86,0.565
Apr-86,0.495
May-86,0.57
Jun-86,0.535
Jul-86,0.467
Aug-86,0.489
Sep-86,0.502
Oct-86,0.492
Nov-86,0.488
Dec-86,0.499
Jan-87,0.539
Feb-87,0.559
Mar-87,0.586
Apr-87,0.593
May-87,0.608
Jun-87,0.629
Jul-87,0.658
Aug-87,0.656
Sep-87,0.616
Oct-87,0.618
Nov-87,0.613
Dec-87,0.585
Jan-88,0.564
Feb-88,0.584
Mar-88,0.58
Apr-88,0.604
May-88,0.605
Jun-88,0.622
Jul-88,0.631
Aug-88,0.63
Sep-88,0.601
Oct-88,0.633
Nov-88,0.633
Dec-88,0.609
Jan-89,0.614
Feb-89,0.621
Mar-89,0.637
Apr-89,0.754
May-89,0.788
Jun-89,0.734
Jul-89,0.712
Aug-89,0.661
Sep-89,0.677
Oct-89,0.682
Nov-89,0.641
Dec-89,0.637
Jan-90,0.715
Feb-90,0.704
Mar-90,0.665
Apr-90,0.696
May-90,0.724
Jun-90,0.739
Jul-90,0.737
Aug-90,0.878
Sep-90,0.988
Oct-90,1.047
Nov-90,1.027
Dec-90,0.889
Jan-91,0.831
Feb-91,0.755
Mar-91,0.758
Apr-91,0.76
May-91,0.783
Jun-91,0.761
Jul-91,0.744
Aug-91,0.779
Sep-91,0.729
Oct-91,0.758
Nov-91,0.76
Dec-91,0.701
Jan-92,0.679
Feb-92,0.665
Mar-92,0.654
Apr-92,0.675
May-92,0.709
Jun-92,0.756
Jul-92,0.737
Aug-92,0.749
Sep-92,0.723
Oct-92,0.77
Nov-92,0.765
Dec-92,0.745
Jan-93,0.706
Feb-93,0.683
Mar-93,0.67
Apr-93,0.689
May-93,0.704
Jun-93,0.685
Jul-93,0.663
Aug-93,0.654
Sep-93,0.633
Oct-93,0.669
Nov-93,0.634
Dec-93,0.553
Jan-94,0.583
Feb-94,0.592
Mar-94,0.581
Apr-94,0.597
May-94,0.622
Jun-94,0.648
Jul-94,0.672
Aug-94,0.694
Sep-94,0.647
Oct-94,0.687
Nov-94,0.702
Dec-94,0.665
Jan-95,0.663
Feb-95,0.668
Mar-95,0.642
Apr-95,0.697
May-95,0.757
Jun-95,0.759
Jul-95,0.699
Aug-95,0.675
Sep-95,0.676
Oct-95,0.63
Nov-95,0.623
Dec-95,0.668
Jan-96,0.66
Feb-96,0.653
Mar-96,0.706
Apr-96,0.776
May-96,0.793
Jun-96,0.743
Jul-96,0.746
Aug-96,0.724
Sep-96,0.732
Oct-96,0.755
Nov-96,0.782
Dec-96,0.796
Jan-97,0.801
Feb-97,0.772
Mar-97,0.734
Apr-97,0.71
May-97,0.706
Jun-97,0.69
Jul-97,0.699
Aug-97,0.79
Sep-97,0.763
Oct-97,0.717
Nov-97,0.689
Dec-97,0.654
Jan-98,0.608
Feb-98,0.574
Mar-98,0.553
Apr-98,0.56
May-98,0.571
Jun-98,0.551
Jul-98,0.54
Aug-98,0.517
Sep-98,0.514
Oct-98,0.544
Nov-98,0.506
Dec-98,0.456
Jan-99,0.453
Feb-99,0.451
Mar-99,0.492
Apr-99,0.585
May-99,0.61
Jun-99,0.595
Jul-99,0.641
Aug-99,0.732
Sep-99,0.758
Oct-99,0.753
Nov-99,0.756
Dec-99,0.777
Jan-00,0.803
Feb-00,0.878
Mar-00,0.997
Apr-00,0.906
May-00,0.993
Jun-00,1.105
Jul-00,1.063
Aug-00,1.04
Sep-00,1.061
Oct-00,1.049
Nov-00,1.022
Dec-00,0.927
Jan-01,0.952
Feb-01,0.94
Mar-01,0.903
Apr-01,1.037
May-01,1.183
Jun-01,1.068
Jul-01,0.899
Aug-01,0.882
Sep-01,0.863
Oct-01,0.734
Nov-01,0.632
Dec-01,0.585
Jan-02,0.615
Feb-02,0.626
Mar-02,0.743
Apr-02,0.855
May-02,0.852
Jun-02,0.828
Jul-02,0.869
Aug-02,0.873
Sep-02,0.885
Oct-02,0.913
Nov-02,0.89
Dec-02,0.922
Jan-03,0.962
Feb-03,1.069
Mar-03,1.077
Apr-03,0.968
May-03,0.928
Jun-03,0.923
Jul-03,0.949
Aug-03,1.072
Sep-03,1.089
Oct-03,1.016
Nov-03,0.972
Dec-03,0.957
Jan-04,1.055
Feb-04,1.093
Mar-04,1.154
Apr-04,1.186
May-04,1.401
Jun-04,1.323
Jul-04,1.341
Aug-04,1.311
Sep-04,1.306
Oct-04,1.415
Nov-04,1.362
Dec-04,1.205
Jan-05,1.251
Feb-05,1.267
Mar-05,1.419
Apr-05,1.534
